bibd-19-57-9-3-1_glb.cnf,hordesat,default,SATISFIABLE,25.39
bibd-8-70-35-4-15_glb.cnf,hordesat,default,UNKNOWN,10000
bx-d-4-7-6.cnf,hordesat,default,UNKNOWN,10000
bx-d-4-7-8.cnf,hordesat,default,UNKNOWN,10000
by-alt-5-7.cnf,hordesat,default,UNKNOWN,10000
by-X-2-7-100.cnf,hordesat,default,UNKNOWN,10000
bz-X-4-7-6.cnf,hordesat,default,UNKNOWN,10000
C3-2-31.cnf,hordesat,default,UNKNOWN,10000
Cake_8_16.cnf,hordesat,default,UNKNOWN,10000
Cake_9_19.cnf,hordesat,default,UNKNOWN,10000
Cake_9_20.cnf,hordesat,default,UNKNOWN,10000
cannonball-opt-y.rules.4-10.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf,hordesat,default,SATISFIABLE,985.30
cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf,hordesat,default,UNKNOWN,2167.19
cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf,hordesat,default,UNKNOWN,3593.30
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf,hordesat,default,UNKNOWN,10000
cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf,hordesat,default,UNKNOWN,3575.63
